Álbuns,Músicas,duração(seg),popularidade,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,prêmios
An Evening With Silk Sonic,Silk Sonic Intro,63,57,0.696,0.553,1,-8.702,1,0.0759,0.097,3.91e-06,0.617,0.674,114.993,0
An Evening With Silk Sonic,Leave The Door Open,242,84,0.586,0.616,5,-7.964,1,0.0324,0.182,0.0,0.0927,0.719,148.088,0
An Evening With Silk Sonic,Fly As Me,219,66,0.783,0.627,2,-8.521,1,0.102,0.00756,0.0,0.0606,0.48,100.025,0
An Evening With Silk Sonic,After Last Night (with Thundercat & Bootsy Collins),249,68,0.651,0.703,0,-8.958,0,0.0816,0.0297,0.0,0.0608,0.647,140.051,0
An Evening With Silk Sonic,Smokin Out The Window,197,79,0.627,0.618,2,-8.529,1,0.0437,0.0558,0.0,0.351,0.848,82.03,0
An Evening With Silk Sonic,Put On A Smile,255,62,0.548,0.627,9,-8.949,1,0.0409,0.0471,0.0,0.285,0.493,143.994,0
An Evening With Silk Sonic,777,165,51,0.832,0.617,7,-11.166,1,0.0971,0.00295,0.000763,0.337,0.909,102.017,0
An Evening With Silk Sonic,Skate,203,73,0.708,0.598,5,-8.365,1,0.0291,0.037,0.0,0.17,0.698,112.027,0
An Evening With Silk Sonic,Love's Train,307,61,0.711,0.605,6,-9.801,0,0.031,0.0396,2.29e-05,0.104,0.807,140.981,0
An Evening With Silk Sonic,Blast Off,285,63,0.482,0.548,11,-9.946,1,0.0373,0.0363,2.28e-06,0.3,0.346,76.017,0
24K Magic,24K Magic,226,79,0.818,0.803,1,-4.282,1,0.0797,0.034,0.0,0.153,0.632,106.97,2
24K Magic,Chunky,187,69,0.571,0.539,5,-4.446,0,0.116,0.0208,0.0,0.125,0.727,202.103,0
24K Magic,Perm,210,64,0.853,0.871,8,-3.715,1,0.0851,0.0145,6.84e-05,0.198,0.863,124.021,0
24K Magic,That's What I Like,207,83,0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,5
24K Magic,Versace on the Floor,261,75,0.578,0.574,2,-6.209,1,0.0454,0.196,0.0,0.083,0.301,174.152,0
24K Magic,Straight up & Down,198,61,0.552,0.733,3,-6.898,0,0.0933,0.0209,0.0,0.0858,0.643,143.56,0
24K Magic,Calling All My Lovelies,250,61,0.662,0.705,1,-6.56,0,0.0399,0.0392,2.38e-06,0.105,0.865,159.996,0
24K Magic,Finesse,191,69,0.741,0.798,5,-5.342,0,0.0718,0.00781,0.0,0.0232,0.939,104.953,1
24K Magic,Too Good to Say Goodbye,282,66,0.587,0.63,2,-6.054,1,0.0311,0.0389,0.0,0.35,0.433,76.97,0
Unorthodox Jukebox,Young Girls,229,31,0.562,0.748,6,-4.811,0,0.0318,0.458,3.27e-06,0.121,0.56,125.967,0
Unorthodox Jukebox,Locked out of Heaven,234,54,0.728,0.697,5,-4.125,1,0.0456,0.0556,0.0,0.282,0.87,143.986,2
Unorthodox Jukebox,Gorilla,244,28,0.721,0.547,7,-6.539,1,0.0367,0.469,1.17e-05,0.0969,0.667,139.99,0
Unorthodox Jukebox,Treasure,179,45,0.874,0.687,5,-5.253,0,0.0426,0.034,7.59e-05,0.324,0.92,116.054,1
Unorthodox Jukebox,Moonshine,229,20,0.706,0.773,2,-4.383,1,0.0276,0.205,1.8e-05,0.0756,0.457,104.987,0
Unorthodox Jukebox,When I Was Your Man,214,55,0.601,0.271,0,-8.688,1,0.0403,0.937,0.0,0.144,0.411,145.494,0
Unorthodox Jukebox,Natalie,225,25,0.761,0.729,7,-6.539,1,0.0503,0.152,0.0,0.0696,0.667,111.994,0
Unorthodox Jukebox,Show Me,208,25,0.745,0.687,0,-5.7,1,0.0616,0.0536,0.0,0.207,0.539,77.979,0
Unorthodox Jukebox,Money Make Her Smile,204,17,0.755,0.664,0,-6.4,1,0.075,0.0945,3.89e-05,0.14,0.778,93.011,0
Unorthodox Jukebox,If I Knew,133,28,0.472,0.437,3,-5.739,1,0.0327,0.72,0.0,0.0858,0.442,175.797,0
Doo-Wops & Hooligans,Grenade,222,78,0.704,0.558,2,-7.273,0,0.0542,0.148,0.0,0.107,0.245,110.444,0
Doo-Wops & Hooligans,Just the Way You Are,221,82,0.635,0.841,5,-5.379,1,0.0422,0.0134,0.0,0.0622,0.424,109.021,4
Doo-Wops & Hooligans,Our First Time,243,54,0.709,0.45,9,-8.267,0,0.0428,0.419,0.0,0.241,0.873,77.986,0
Doo-Wops & Hooligans,Runaway Baby,148,71,0.658,0.762,10,-3.028,0,0.0425,0.263,0.0,0.127,0.823,163.864,0
Doo-Wops & Hooligans,The Lazy Song,189,72,0.794,0.711,8,-5.124,0,0.0699,0.3,0.0,0.0955,0.955,174.915,0
Doo-Wops & Hooligans,Marry You,230,75,0.621,0.82,10,-4.865,1,0.0367,0.332,0.0,0.104,0.452,144.905,0
Doo-Wops & Hooligans,Talking to the Moon,218,82,0.498,0.59,1,-4.721,0,0.032,0.511,0.0,0.107,0.0784,145.867,0
Doo-Wops & Hooligans,Liquor Store Blues (feat. Damian Marley),229,60,0.691,0.828,1,-3.909,0,0.0749,0.113,0.0,0.358,0.678,75.519,0
Doo-Wops & Hooligans,Count on Me,197,75,0.589,0.389,0,-5.972,1,0.028,0.851,0.0,0.0772,0.501,89.1,0
Doo-Wops & Hooligans,The Other Side (feat. CeeLo Green and B.o.B),228,54,0.555,0.814,5,-3.927,0,0.0303,0.0993,3.7e-06,0.128,0.523,140.081,0
